ERROR:ROWS : '' not found 
ERROR:PRIMARY KEY :  exits in the task
ERROR:PRIMARY KEY :  exits in the task
ERROR:PRIMARY KEY :  exits in the task
ERROR:PRIMARY KEY :  exits in the task
ERROR:PRIMARY KEY :  exits in the task
ERROR:PRIMARY KEY :  exits in the task
ERROR:PRIMARY KEY :  exits in the task
ERROR:PRIMARY KEY :  exits in the task
ERROR:PRIMARY KEY :  exits in the task
ERROR:PRIMARY KEY :  exits in the task
ERROR:PRIMARY KEY : fsdfasd exits in the task
ERROR:PRIMARY KEY : dsadas exits in the task
ERROR:PRIMARY KEY : hopla exits in the task
ERROR:PRIMARY KEY : dsds exits in the task
ERROR:PRIMARY KEY : dsds exits in the task
ERROR:PRIMARY KEY : hola exits in the task
ERROR:PRIMARY KEY : make exits in the task
ERROR:PRIMARY KEY : dsas exits in the task
ERROR:ROW : element h not found in task
ERROR:ROW : element f not found in task
ERROR:ROW : element c not found in task
ERROR:ROW : element l not found in task
ERROR:ROW : element h not found in task
ERROR:ROW : element h not found in task
ERROR:ROW : element h not found in task
ERROR:ROW : element s not found in task
ERROR:ROW : element s not found in task
ERROR:ROW : element s not found in task
ERROR:ROW : element a not found in task
ERROR:ROW : element a not found in task
ERROR:ROW : element a not found in task
ERROR:ROW : element a not found in task
ERROR:ROW : element a not found in task
ERROR:ROW : element a not found in task
ERROR:ROW : element a not found in task
ERROR:ROW : element a not found in task
